INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182071922,301,Robbery,ROBBERY - STREET,C11,358,,2018-09-06 21:46:00,2018,9,Thursday,21,Part One,LARCHMONT ST,42.29703368,-71.06860662,"(42.29703368, -71.06860662)"
I182071885,301,Robbery,ROBBERY - STREET,A7,24,,2018-09-06 19:35:00,2018,9,Thursday,19,Part One,MERIDIAN ST,42.37750247,-71.03916237,"(42.37750247, -71.03916237)"
I182071765,371,Robbery,ROBBERY - HOME INVASION,B3,431,,2018-09-06 12:26:00,2018,9,Thursday,12,Part One,LUCERNE ST,42.28792347,-71.08815774,"(42.28792347, -71.08815774)"
I182071754,371,Robbery,ROBBERY - HOME INVASION,D4,624,,2018-09-06 12:33:00,2018,9,Thursday,12,Part One,BOYLSTON ST,42.34693807,-71.09266111,"(42.34693807, -71.09266111)"
I182071648,381,Robbery,ROBBERY - CAR JACKING,B3,428,,2018-09-06 02:31:00,2018,9,Thursday,2,Part One,LESTON ST,42.28349153,-71.08991288,"(42.28349153, -71.08991288)"
I182071322,311,Robbery,ROBBERY - COMMERCIAL,C11,338,,2018-09-04 23:37:00,2018,9,Tuesday,23,Part One,BOWDOIN ST,42.31016764,-71.0629118,"(42.31016764, -71.06291180)"
I182071316,301,Robbery,ROBBERY - STREET,E18,481,,2018-09-04 22:50:00,2018,9,Tuesday,22,Part One,ROCKDALE ST,42.26652466,-71.0985532,"(42.26652466, -71.09855320)"
I182071303,361,Robbery,ROBBERY - OTHER,C11,345,,2018-09-04 21:56:00,2018,9,Tuesday,21,Part One,RIDGEWOOD ST,42.30209443,-71.06575183,"(42.30209443, -71.06575183)"
I182071191,301,Robbery,ROBBERY - STREET,B2,181,,2018-09-04 15:27:00,2018,9,Tuesday,15,Part One,MAGAZINE ST,42.32667817,-71.0714811,"(42.32667817, -71.07148110)"
I182071040,301,Robbery,ROBBERY - STREET,C11,397,,2018-09-04 09:49:00,2018,9,Tuesday,9,Part One,TALBOT AVE,42.28935481,-71.06767297,"(42.28935481, -71.06767297)"
